Time,Author,Headline,Target
2018/5/15 6:14,pinfkloyd,Is this good time to short Bitcoin? Opportunity with low risk!,BTCUSD
2018/5/18 3:28,DreamBlood,Bitcoin - Short but don't forget to Stop,BTCUSD
2018/5/18 21:05,coin_edward,Bitcoin BTCUSD Bearish 1D chart,BTCUSD
2018/5/19 1:10,TradeIndicators,BTCUSD - We're up 1.87% today! Technical Analysis Video!,BTCUSD
2018/5/22 2:32,hasanmanzer,"Shorting Bitcoin Here At 8350, target is 7,000K",XBTUSD
2018/5/22 6:04,BeckyDD,Becky on BTC - We go Down,BTCUSD
2018/5/29 5:44,timeerr,BTCUSD SELL @7148.5,BTCUSD
2018/5/30 0:51,Sawcruhteez,BTC:USD 4 hour chart DAILY UPDATE (day 93),BTCUSD
2018/5/30 7:12,CryptoStonerreal,"Testing Strategy #6,908,458",XBTUSD
2018/5/31 9:47,CryptoverseNetwork,$BTC Short Entry levels and outlook targets.,XBTUSD
2018/5/31 20:08,TradingRoomApp,SHORT Bitcoin on bounce,BTCUSD
2018/6/3 3:16,DUMPSACKcrypto,BTCUSD AHHH! VOLUME DROPPING! GOING DOWN TO 7.5K,BTCUSD
2018/6/4 19:23,Acorcia,BTCUSD Downside,BTCUSD
2018/6/5 4:31,DreamBlood,Bitcoin - Short Yet Again,BTCUSD
2018/6/5 6:49,somuchcloudporn,BTC / USD Inverted Cup and Handle,BTCUSD
2018/6/6 1:58,DrZ_,Bitcoin - Price Analysis : 2018-06-06,BTCUSD
2018/6/6 23:46,DailyTradey,Shorting Bitcoin based on 1 pitchfork placed on a daily.,BTCUSD
2018/6/7 8:32,delusional,BTCUSD: Shorting the Bear Div,BTCUSD
2018/6/7 11:42,cryptoezvip,BITCOIN and Why The Bulls Can't Fly! - Fibonacci in Play,BTCUSD
2018/6/11 0:58,BeckyDD,Becky on BTC - Predicted Drop Now Where To Take Profit?,BTCUSD
2018/6/15 6:31,CryptoStonerreal,Short Bitcoin,XBTUSD
2018/6/16 3:53,kolhaj,Bitcoin- where to short next,BTCUSD
2018/6/16 4:54,tevlevelvet,BTC/USD SHORT Play,BTCUSD
2018/6/17 1:03,DreamBlood,Bitcoin - Last Bearish Run?,BTCUSDT
2018/6/22 9:29,Democritus,Current Bitcoin status,BTCUSD
2018/6/22 15:16,BearishOnCrypto,Short Bitcoin,BTCUSD
2018/6/22 19:59,GREYFXEMPIRE,Let's short bitcoin into the ground!,XBTUSD
2018/6/23 6:20,humhawbtc,shorting 'bitcoin cash',BCHBTC
2018/6/25 19:50,Predictron,BTC/USD Scenario #1,BTCUSD
2018/7/3 11:15,EdwardMorra_btc,Scalp short,XBTUSD
2018/7/4 3:09,DailyTradey,"Shorting bitcoin, precise targets and details in comment section",XBTUSD
2018/7/10 1:13,DailyTradey,Bitcoin short details in comments,BTCUSD
2018/7/10 8:57,edjunkmailbox,Short Bitcoin - Tom Demark method,BTCUSD
2018/7/11 16:26,Cnsl,Soon shorting Bitcoin!,BTCUSDT
2018/7/17 13:27,Nevermorejk,BTC Day Trade,BTCUSD
2018/7/17 20:37,Jefe,"Bitcoin Headed to New Low at $5,400",BTCUSD
2018/7/17 21:44,felicexxx,general view,BTCUSD
2018/7/18 12:35,Aniketgoel,Shorting bitcoin around 7700 might be in play with tight stop lo,BTCUSD
2018/7/19 9:49,tradingwithanthony,Shorting Bitcoin playing the retrace,BTCUSDT
2018/7/20 23:33,marketplaceguy,Short Bitcoin!!!,BTCUSD
2018/7/21 4:28,Very-Important-Trader,!!BTC bearish idea!!,BTCUSD
2018/7/21 6:39,Nevermorejk,BTC day trade,BTCUSD
2018/7/22 20:30,Jeekis,Let me tell you something about BTC.,BTCUSD
2018/7/23 13:52,jatech3,BTC Correction Incoming,BTCUSD
2018/7/24 20:21,UnknownUnicorn1024359,im shorting bitcoin,BTCUSD
2018/7/25 15:42,edjunkmailbox,Bitcoin -  analysis which will work like magic  !!,BTCUSD
2018/7/26 10:21,edjunkmailbox,Short bitcoin,BTCUSD
2018/7/26 10:50,quiroga.gonza,Short Bitcoin?,BTCUSDT
2018/7/28 5:43,Hoodboss589,Short Bitcoin here,BTCUSD
2018/7/31 10:18,edjunkmailbox,BTC -Magic charts which Time the markets !,BTCUSD
2018/8/1 15:46,mothafucaja,Where is Bitcoin heading?,BTCUSD
2018/8/4 3:39,ForexCryptoA,Bitcoin Short,XBTUSD
2018/8/5 12:27,Turningmecard,Short Bitcoin now! until clear bull signal,BTCUSD
2018/8/7 1:52,xuanhaimmoer,Bitcoin ( BTC/USD ) - Target to TEST OF WYCKOFF,BTCUSD
2018/8/20 22:21,tommyf1001,Bearish Signs still Looming over Bitcoin,BTCUSD
2018/8/20 22:32,fitzpa59,"Bitcoin: Bearish, Everyone is Shorting #Bitcoin",BTCUSD
2018/8/21 0:05,FXLeaders,Shorting The 38% Retracement In Bitcoin (BTC),BTCQ2018
2018/9/2 12:59,HedgeSafe69,Short Bitcoin,BTCUSD
2018/9/3 2:39,farhadjafarov7,Bitcoin going down so how much down?,BTCUSD
2018/9/5 5:58,AlphonsoElliottJr.,September 5th?? Breakout Time?,BTCUSD
2018/9/6 7:56,YoungShkreli,"Road to $5,000 pt.2",BTCUSD
