Date,Price,Volume,Index,Spreads,Hash,GT,GD,ABT
20180729,8207.54,155.24,54,0.053153688,47467539.56,10,1321.99,508.4117647
20180730,8070.525,242.21,53,0.047463603,40336854.23,10,1222.05,642.6343284
20180731,7919.985,266.94,48,0.042656136,43606714.96,10,1219.2,589.0408163
20180801,7605.025,237.69,39,0.043138624,44536059.64,10,1222.75,575.7066667
20180802,7592.09,216.34,39,0.048395519,45239605.83,10,1217.6,567.5686275
20180803,7419.625,226.46,36,0.041226759,49493296.22,10,1207.7,516.2289157
20180804,7215.52,222.57,31,0.044104073,53543175.14,10,1479.56,484.4375
20180805,6995.42,177.64,23,0.037190988,47594648.7,11,1403.84,552.23125
20180806,7007.595,168.87,25,0.035907703,38739598.15,11,1212,656.2900763
20180807,6917.94,232.48,25,0.035380558,45641666.16,11,1215.4,571.1788079
20180808,6428.51,311.54,23,0.042901978,46837647.61,11,1212.35,550.9681529
20180809,6413.125,237.66,19,0.044223569,44031139.76,11,1215.5,580.8657718
20180810,6304.025,298.82,21,0.163233426,51948928.48,11,1211.65,492.5681818
20180811,6251.405,247.34,18,0.073367031,53071972.72,11,1320.59,502.7058824
20180812,6330.14,216.33,18,0.067181364,49479032.99,11,1221.96,557.8516129
20180813,6351.025,234.09,21,0.058289545,47939925.1,11,1204.4,580.6466667
20180814,6079.185,3660,16,0.060342082,43277697.4,11,1195.3,633.5367647
20180815,6406.85,3740,18,0.056291651,52430086.09,11,1186.7,528.8757764
20180816,6347.7,3500,21,0.051213416,50159259.18,11,1179.65,556.1772152
20180817,6447.585,3200,19,0.046780575,48222133.9,11,1176.7,569.4210526
20180818,6472.3,3150,24,0.057158873,52415347.92,11,1223.87,529.69375
20180819,6445.72,2710,27,0.046730337,46547318.65,9,1287.63,607.3310345
20180820,6392.965,3100,26,0.031933013,47837285.63,9,1188.75,571.9666667
20180821,6383.25,1460,19,0.031736407,47605092.61,9,1194.1,579.0202703
20180822,6577.565,3630,21,0.035556932,51519798.12,9,1196.85,547.30625
20180823,6466.12,2760,18,0.032496884,47112756.01,9,1187.3,580.6375839
20180824,6609.295,3700,19,0.032026029,48436074.28,9,1189.95,577.8835616
20180825,6746.54,3590,22,0.03869553,45123021.27,9,1375.01,652.9555556
20180826,6690.825,3370,19,0.04035032,58205370.07,9,1340.15,501.2196532
20180827,6809.525,3260,18,0.031227014,61659587.14,9,1534.37,466.7837838
20180828,7006.955,3790,19,0.034340576,51912156.44,9,1212.75,562.9150327
20180829,7041.115,4110,19,0.034454924,46386721.82,9,1204.3,622.6043165
20180830,6945.665,3740,22,0.037346718,51382728.32,9,1202.35,560.987013
